"","Site","Species","year","n","Latitude","Longitude","Subregion"
"1","AA1064","PSTR","2024",1,26.614995,-80.023759,"South Palm Beach"
"2","AA1065","CNAT","2024",1,26.607414,-80.023453,"South Palm Beach"
"3","AA1074","PSTR","2024",2,26.521214,-80.032971,"South Palm Beach"
"4","AA1074","PSTR","2024",2,26.521214,-80.032971,"South Palm Beach"
"5","AA1094","PSTR","2024",1,26.202915,-80.089409,"Broward-Miami"
"6","AA1095","PSTR","2024",1,26.202894,-80.085907,"Broward-Miami"
"7","AA1102","CNAT","2024",1,26.175322,-80.08062,"Broward-Miami"
"8","AA1113","PSTR","2024",1,26.139725,-80.0914,"Broward-Miami"
"9","AA1124","PSTR","2024",1,26.109669,-80.091848,"Broward-Miami"
"10","AA1128","PSTR","2024",1,26.099588,-80.098213,"Broward-Miami"
"11","AA1132","PSTR","2024",2,26.086096,-80.106316,"Broward-Miami"
"12","AA1132","PSTR","2024",2,26.086096,-80.106316,"Broward-Miami"
"13","AA1134","PSTR","2024",1,26.08379,-80.098335,"Broward-Miami"
"14","AA1134","PSTR","2024",1,26.08379,-80.098335,"Broward-Miami"
"15","AA1134","DLAB","2024",1,26.08379,-80.098335,"Broward-Miami"
"16","AA1134","DLAB","2024",1,26.08379,-80.098335,"Broward-Miami"
"17","AA1137","PSTR","2024",1,26.076626,-80.107887,"Broward-Miami"
"18","AA1139","PSTR","2024",1,26.072102,-80.106422,"Broward-Miami"
"19","AA1141","PSTR","2024",1,26.067577,-80.104958,"Broward-Miami"
"20","AA1149","PSTR","2024",1,26.041372,-80.101654,"Broward-Miami"
"21","AA1152","PSTR","2024",1,26.028284,-80.102257,"Broward-Miami"
"22","AA1154","DLAB","2024",1,26.013876,-80.10836,"Broward-Miami"
"23","AA1155","PSTR","2024",1,26.012957,-80.105865,"Broward-Miami"
"24","AA1156","PSTR","2024",1,26.010221,-80.101395,"Broward-Miami"
"25","AA1159","CNAT","2024",2,25.999505,-80.095292,"Broward-Miami"
"26","AA1159","CNAT","2024",2,25.999505,-80.095292,"Broward-Miami"
"27","AA1162","CNAT","2024",1,25.996229,-80.101997,"Broward-Miami"
"28","AA1164","PSTR","2024",1,25.995295,-80.097008,"Broward-Miami"
"29","AA1166","DLAB","2024",1,25.98134,-80.103607,"Broward-Miami"
"30","AA1166","DLAB","2024",1,25.98134,-80.103607,"Broward-Miami"
"31","AA1166","PSTR","2024",1,25.98134,-80.103607,"Broward-Miami"
"32","AA1166","PSTR","2024",1,25.98134,-80.103607,"Broward-Miami"
"33","AA1169","PSTR","2024",3,25.965549,-80.105232,"Broward-Miami"
"34","AA1169","PSTR","2024",3,25.965549,-80.105232,"Broward-Miami"
"35","AA1169","PSTR","2024",3,25.965549,-80.105232,"Broward-Miami"
"36","AA1173","PSTR","2024",1,25.95618,-80.09909,"Broward-Miami"
"37","AA1176","PSTR","2024",1,25.949341,-80.112343,"Broward-Miami"
"38","AA1179","CNAT","2024",1,25.944366,-80.110878,"Broward-Miami"
"39","AA1182","PSTR","2024",1,25.939398,-80.11042,"Broward-Miami"
"40","AA1184","PSTR","2024",1,25.932644,-80.113464,"Broward-Miami"
"41","AA1186","CNAT","2024",1,25.906393,-80.102684,"Broward-Miami"
"42","AA1188","PSTR","2024",1,25.896439,-80.099258,"Broward-Miami"
"43","AA1189","PSTR","2024",1,25.887899,-80.105316,"Broward-Miami"
